Accident ID,lat,long,Accident count,No of pedestrian casualties,Accident severity,Day of week,Date in month,Month,Year,Time,Weather,Pedestrian injury,Pedestrian location,Pedestrian action,contributory factors 1,contributory factors 2,contributory factors 3,Time(12h),Day(Text),Relative Vehicle Speed ,Accident description,Location description
190001001602842,23.7247876,90.4122379,1,01,G,2,08,01,19,0845,1,G,4,2,01,02,00,8:45 AM,Tuesday,3,V1 TRAV E-W (MOTIJEEL) OVERRUN PEDESTRIAN CROSSNG ROAD.                         ,"GULISTHAN PATAL SOROK, GULISTHAN ROAD.                                          "
190001000602142,23.6905025,90.430771,2,01,F,6,05,01,19,2130,1,F,4,2,01,02,00,9:30 PM,Saturday,3,V1 TRAV E-W (POSTOGOLA BRIDGE) OVERRUN PEDESTRIAN CROSSING ROAD.                ,"POSTOGOLA BRIDGE, DHAKA-MOUA ROAD.                                              "
190001000100642,23.7392024,90.4806533,3,01,F,7,13,01,19,1445,2,F,4,2,01,02,00,2:45 PM,Sunday,4,V1 TRAV E-W (JATRABARI) OVERRUN PEDESTRIAN CROSSING ROAD.                       ,UNKNOWN LOCATION.                                                               
190001000101242,23.7923315,90.4244884,4,01,F,3,23,01,19,2250,1,F,4,2,01,02,00,10:50 PM,Wednesday,3,V1 TRAV S-N (UTTARA) OVERRUN PEDESTRIAN CROSSING ROAD.                          ,PROGATI SARANI ROAD.                                                            
190002000201242,23.7942303,90.4241415,5,01,F,4,31,01,19,0500,1,F,4,2,01,02,00,5:00 AM,Thursday,4,V1 TRAV S-N (CANTONMENT) OVERRUN PEDESTRIAN CROSSING ROAD.                      ,POGOTI SARANI ROAD.                                                             
190001003705042,23.7491162,90.407235,6,01,G,1,21,01,19,1745,1,G,4,2,01,02,00,5:45 PM,Monday,2,V1 TRAV W-E (KHILGONG) OVERRUN PEDESTRIAN CROSSING ROAD.                        ,"IN FRONT OF ARONG, MOGBAZAR ROAD.                                               "
190002001905042,23.7417678,90.4174115,7,02,F,2,01,01,19,1400,1,F,4,2,01,02,00,2:00 PM,Tuesday,4,V1 TRAV E-W (BANGLA MOTOR) OVERRUN PEDESTRIAN CROSSING ROAD.                    ,MUCHAC FLYOVER GET IN.                                                          
190002001905042,23.7417678,90.4174115,7,,,,,,,,,F,4,2,,,,#VALUE!,#VALUE!,,,
190002006002242,23.8500376,90.4087824,8,01,F,3,30,01,19,2215,1,F,4,2,01,02,00,10:15 PM,Wednesday,3,V1 TRAV S-N (TUNGI) OVERRUN PEDESTRIAN CROSSING ROAD.                           ,"AIRPORT ROUND CIRCLE, DHAKA-MYMENSHING ROAD.                                    "
190003005402242,23.8510073,90.4079388,9,02,F,1,28,01,19,0045,1,F,4,2,01,02,00,12:45 AM,Monday,3,V1 TRAV S-N (KAMARPARA) OVERRUN PEDESTRIAN CROSSING ROAD.                       ,DHAKA-MYMENSGING ROAD.                                                          
190003005402242,23.8510073,90.4079388,9,,,,,,,,,F,4,2,,,,#VALUE!,#VALUE!,,,
190001000704442,23.8716137,90.3939168,10,00,G,3,09,01,19,0315,1,,,,01,02,00,3:15 AM,Wednesday,5,"V1 HIT V2 REAREND, BOTH TRAV S-N (ASHULIA).                                     ",UNKNOWN LOCATION.                                                               
190001000704442,23.8716137,90.3939168,10,,,,,,,,,,,,,,,#VALUE!,#VALUE!,,,
