Serial,lat,long,No. of Lanes
251,23.84570307,90.41239234,4
252,23.83322122,90.41915202,
253,23.85057014,90.40856644,2
254,23.84741255,90.4110028,4
255,23.69941327,90.45714836,4
256,23.69303739,90.47470801,4
257,23.69490197,90.46658928,4
258,23.70303929,90.43515259,4
259,23.79447842,90.41447862,3
260,23.82049125,90.39538566,
261,23.77670963,90.41650039,3
262,23.80684997,90.36777584,3
263,23.72481187,90.41202681,2
264,23.7300775,90.40999828,2
265,23.79436048,90.4009104,4
266,23.71452656,90.40861051,
267,23.72996228,90.40683255,2
268,23.73744568,90.3956642,2
269,23.73714879,90.39562163,2
270,23.8607157,90.40011567,1
271,23.89133054,90.38856698,
272,23.85062008,90.40865217,2
273,23.82973151,90.41974089,4
274,23.8330268,90.41918223,4
275,23.84738128,90.41101966,4
276,23.81686638,90.40848641,4
277,23.81857829,90.41460054,4
278,23.86066907,90.40013782,1
279,23.81551477,90.40456765,
280,23.79838978,90.42336345,3
281,23.81890777,90.45271331,
282,23.81699433,90.40859573,
283,23.84775681,90.41069951,4
284,23.75910897,90.38365766,3
285,23.77759898,90.39821438,2
286,23.75230338,90.39233346,4
287,23.768134,90.38905871,4
288,23.84022341,90.41675894,4
289,23.70540787,90.44457732,
290,23.71726536,90.42146263,2
291,23.81130548,90.34013691,
292,23.78462079,90.3535189,3
293,23.80267919,90.35951211,3
294,23.80621998,90.36259053,
295,23.83154819,90.415586,
296,23.76028046,90.39938925,2
297,23.77306161,90.41569705,
298,23.70365592,90.44859405,2
299,23.71530901,90.45910768,
300,23.71006516,90.43451729,
301,23.71447336,90.42576777,3
302,23.71010379,90.43452266,
303,23.70592193,90.44400684,2
304,23.71006516,90.43451729,
305,23.69372858,90.48046618,4
306,23.71396269,90.4265378,3
307,23.69504107,90.46669765,4
308,23.69953065,90.45713055,4
309,23.71526846,90.45894584,
310,23.76648306,90.37000197,4
311,23.80698004,90.36784887,3
312,23.82229464,90.42032186,1
313,23.78017019,90.42555858,2
314,23.69346008,90.43421447,
315,23.71394001,90.42651972,2
316,23.70306082,90.43519353,4
317,23.69875875,90.45848609,4
318,23.71851201,90.42042315,2
319,23.71865558,90.42042691,
320,23.879635,90.39193873,
321,23.85049993,90.40850131,2
322,23.89131217,90.3885733,
323,23.73428257,90.40133799,3
324,23.804575,90.4221016,3
325,23.73025433,90.41328779,2
326,23.79791598,90.42344947,3
327,23.77798705,90.36100784,3
328,23.83166226,90.41554507,
329,23.81106835,90.34882825,
330,23.7991681,90.40185186,1
331,23.70444853,90.43489541,2
332,23.82004563,90.3651528,
333,23.74391777,90.42455142,
334,23.73746464,90.40862849,2
335,23.79220897,90.42449496,3
336,23.75923576,90.38981513,4
337,23.84721397,90.41115845,4
338,23.70306082,90.43519353,4
339,23.72481187,90.41202681,2
340,23.85040966,90.40855767,2
341,23.80284025,90.40245382,1
342,23.83724379,90.48241065,3
343,23.78382473,90.39928544,2
344,23.82060436,90.42074159,2
345,23.74503388,90.38175988,3
346,23.85058022,90.40842217,2
347,23.71735156,90.42925069,2
348,23.76626747,90.42225228,2
349,23.85049993,90.40850131,2
350,23.85016843,90.4089946,
351,23.75026892,90.39334211,
352,23.72770321,90.42080093,
353,23.74029598,90.43385919,2
354,23.73019436,90.41015339,2
355,23.76415927,90.37073088,3
356,23.78528858,90.35967,
357,23.78146115,90.35189356,3
358,23.73374951,90.40377181,2
359,23.79319526,90.38797847,3
360,23.69294451,90.43345232,
361,23.67473499,90.40489548,2
362,23.80259539,90.40240686,1
363,23.74565789,90.38619342,
364,23.76429256,90.38896114,4
365,23.7624929,90.38355697,3
366,23.76429277,90.38890232,3
367,23.79575437,90.40609075,
368,23.69476822,90.46646874,4
369,23.79456045,90.41443311,3
370,23.78029105,90.42555986,2
